History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Page
≡,TSLA - Tesla Inc.,2.04,Add 5.59%,1699741,$449.72,"$764,408,000",,$410.63,-8.69%,$214.25,$498.83,Viking Global Investors,1
≡,TMUS - T-Mobile US Inc.,2.03,Add 15.07%,3754218,$203.04,"$762,256,000",,$219.61,8.16%,$181.36,$273.15,Viking Global Investors,1
≡,AMZN - Amazon.com Inc.,1.93,Buy,3126816,$230.82,"$721,732,000",,$201.15,-12.85%,$161.38,$258.60,Viking Global Investors,1
≡,COF - Capital One Financial,1.91,Reduce 60.04%,2952317,$242.36,"$715,524,000",,$206.74,-14.70%,$141.84,$259.64,Viking Global Investors,1
≡,JCI - Johnson Controls Intl. plc,1.89,Reduce 12.92%,5918707,$119.75,"$708,765,000",,$142.21,18.76%,$67.31,$143.17,Viking Global Investors,1
≡,DKNG - DraftKings Inc.,1.76,Add 27.44%,19119912,$34.46,"$658,872,000",,$22.59,-34.45%,$21.01,$53.50,Viking Global Investors,1
≡,JPM - JPMorgan Chase & Co.,1.64,Reduce 62.33%,1905982,$322.22,"$614,146,000",,$307.13,-4.68%,$199.32,$335.87,Viking Global Investors,1
≡,ROST - Ross Stores Inc.,1.52,Add 56.51%,3167479,$180.14,"$570,590,000",,$198.21,10.03%,$121.41,$198.98,Viking Global Investors,1
≡,GM - General Motors,1.48,Reduce 47.75%,6806095,$81.32,"$553,472,000",,$81.22,-0.12%,$41.28,$87.62,Viking Global Investors,1
≡,MAA - Mid-America Apt Communties,1.44,Add 46.69%,3880048,$138.91,"$538,977,000",,$134.41,-3.24%,$124.34,$166.19,Viking Global Investors,1
≡,CPT - Camden Property Trust,1.4,Add 23.86%,4764495,$110.08,"$524,476,000",,$108.37,-1.55%,$96.20,$121.85,Viking Global Investors,1
≡,DKS - Dick's Sporting Goods Inc.,1.36,Buy,2572969,$197.97,"$509,371,000",,$206.15,4.13%,$163.49,$235.99,Viking Global Investors,1
≡,CLS - Celestica Inc,1.34,Reduce 1.37%,1699236,$295.61,"$502,311,000",,$286.66,-3.03%,$58.05,$363.40,Viking Global Investors,1
≡,CSX - CSX Corp.,1.34,Reduce 13.36%,13817539,$36.25,"$500,886,000",,$41.03,13.19%,$25.91,$41.79,Viking Global Investors,1
≡,ADPT - Adaptive Biotechnologies Corp.,1.3,,29993708,$16.24,"$487,098,000",,$15.79,-2.77%,$6.26,$20.76,Viking Global Investors,1
≡,SE - Sea Ltd,1.25,Add 20.81%,3671545,$127.57,"$468,379,000",,$108.51,-14.94%,$99.50,$199.30,Viking Global Investors,1
≡,HCA - HCA Healthcare Inc.,1.24,Reduce 27.63%,999180,$466.86,"$466,477,000",,$534.78,14.55%,$292.80,$552.90,Viking Global Investors,1
≡,TMO - Thermo Fisher Scientific,1.23,Buy,793187,$579.45,"$459,612,000",,$501.59,-13.44%,$384.82,$643.99,Viking Global Investors,1
≡,RRX - Regal Rexnord Corp.,1.21,Add 3.22%,3223940,$140.32,"$452,383,000",,$219.05,56.11%,$89.90,$229.30,Viking Global Investors,1
≡,CVNA - Carvana Co.,1.2,Reduce 49.48%,1061533,$422.02,"$447,988,000",,$350.94,-16.84%,$148.25,$486.89,Viking Global Investors,1
≡,CHWY - Chewy Inc.,1.19,Add 146.85%,13536645,$33.05,"$447,386,000",,$23.80,-27.99%,$23.06,$48.62,Viking Global Investors,1
≡,APG - APi Group Corp.,1.18,Reduce 6.25%,11537518,$38.26,"$441,425,000",,$44.43,16.13%,$20.50,$46.11,Viking Global Investors,1
≡,STLA - Stellantis N.V.,1.16,Buy,39062551,$11.12,"$434,320,000",,$7.83,-29.59%,$7.03,$13.12,Viking Global Investors,1
≡,CCL - Carnival Corp.,1.15,Buy,14061827,$30.54,"$429,448,000",,$32.68,7.01%,$15.00,$34.03,Viking Global Investors,1
≡,UBS - UBS AG,1.14,Reduce 30.30%,9128817,$46.66,"$425,958,000",,$42.32,-9.30%,$24.95,$49.36,Viking Global Investors,1
≡,UNH - United Health Group Inc.,1.05,Buy,1197273,$330.11,"$395,232,000",,$289.09,-12.43%,$231.57,$594.32,Viking Global Investors,1
≡,BMRN - BioMarin Pharmaceutical Inc.,0.96,Reduce 27.46%,6036936,$59.43,"$358,775,000",,$59.95,0.87%,$50.76,$73.51,Viking Global Investors,1
≡,SAIA - Saia Inc.,0.95,Reduce 21.34%,1088582,$326.52,"$355,444,000",,$388.35,18.94%,$229.12,$507.39,Viking Global Investors,1
≡,TIC - Acuren Corporation,0.93,,34360000,$10.11,"$347,380,000",,$9.34,-7.62%,$8.76,$14.94,Viking Global Investors,1
≡,CB - Chubb Limited,0.84,Buy,1013839,$312.12,"$316,439,000",,$331.89,6.33%,$259.71,$335.60,Viking Global Investors,1
≡,LII - Lennox International,0.81,Buy,621311,$485.58,"$301,696,000",,$565.50,16.46%,$442.02,$685.91,Viking Global Investors,1
≡,PGR - Progressive Corp.,0.81,Buy,1331538,$227.72,"$303,218,000",,$207.90,-8.70%,$187.97,$275.18,Viking Global Investors,1
≡,TW - Tradeweb Markets Inc.,0.79,Buy,2768659,$107.54,"$297,742,000",,$114.32,6.30%,$97.06,$152.21,Viking Global Investors,1
≡,MDLN - Medline Inc Cl A,0.78,Buy,6959157,$42.00,"$292,285,000",,$46.16,9.90%,$34.89,$47.99,Viking Global Investors,1
≡,AON - Aon Plc,0.74,Reduce 44.60%,783650,$352.88,"$276,534,000",,$325.96,-7.63%,$304.59,$409.47,Viking Global Investors,1
≡,AJG - Arthur J. Gallagher & Co.,0.72,Buy,1040977,$258.79,"$269,394,000",,$214.00,-17.31%,$195.00,$348.84,Viking Global Investors,1
≡,BAC - Bank of America Corp.,0.66,Reduce 60.92%,4494629,$55.00,"$247,205,000",,$52.74,-4.11%,$32.52,$57.55,Viking Global Investors,1
≡,BSX - Boston Scientific,0.64,Reduce 4.99%,2509808,$95.35,"$239,310,000",,$76.29,-19.99%,$72.69,$109.50,Viking Global Investors,1
≡,DLR - Digital Realty Trust Inc.,0.62,Buy,1507988,$154.71,"$233,301,000",,$179.89,16.28%,$127.13,$184.79,Viking Global Investors,1
≡,LOW - Lowe's Cos.,0.59,Buy,912040,$241.16,"$219,948,000",,$281.16,16.59%,$202.31,$293.06,Viking Global Investors,1
≡,FIG - Figma Inc Cl A,0.57,Buy,5752388,$37.37,"$214,967,000",,$23.10,-38.19%,$19.85,$142.92,Viking Global Investors,1
≡,AS - Amer Sports Inc,0.48,Reduce 24.11%,4814290,$37.35,"$179,814,000",,$40.26,7.79%,$20.21,$42.36,Viking Global Investors,1
≡,RAL - Ralliant Corp.,0.43,Reduce 37.77%,3162630,$50.91,"$161,009,000",,$44.50,-12.59%,$37.27,$57.02,Viking Global Investors,1
≡,RIOT - Riot Blockchain Inc.,0.42,Buy,12428894,$12.67,"$157,474,000",,$14.65,15.63%,$6.19,$23.94,Viking Global Investors,1
≡,NAMS - Newamsterdam Pharma Co Nv,0.39,Reduce 35.09%,4203567,$35.08,"$147,461,000",,$35.24,0.46%,$14.06,$42.00,Viking Global Investors,1
≡,IQV - IQVIA Holdings Inc.,0.37,Buy,619236,$225.41,"$139,582,000",,$164.44,-27.05%,$134.65,$247.05,Viking Global Investors,1
≡,ROIV - Roivant Sciences Ltd,0.37,Reduce 72.69%,6443191,$21.70,"$139,817,000",,$27.09,24.84%,$8.73,$27.94,Viking Global Investors,1
≡,SION - Sionna Therapeutics Inc,0.35,,3195181,$41.14,"$131,450,000",,$38.03,-7.56%,$7.26,$45.00,Viking Global Investors,1
≡,INBX - Inhibrx,0.3,Reduce 19.58%,1437705,$79.00,"$113,579,000",,$78.77,-0.29%,$10.81,$94.57,Viking Global Investors,1
≡,PHVS - Pharvaris NV,0.27,,3653310,$27.75,"$101,379,000",,$26.61,-4.11%,$11.51,$29.80,Viking Global Investors,1
≡,CSGP - CoStar Group Inc.,0.26,Reduce 22.01%,1442582,$67.24,"$96,999,000",,$45.74,-31.98%,$43.80,$97.43,Viking Global Investors,1
≡,ORKA - Oruka Therapeutics Inc,0.22,,2666690,$30.31,"$80,827,000",,$32.68,7.82%,$5.49,$36.51,Viking Global Investors,1
≡,WST - West Pharmaceutical Services,0.22,Buy,295028,$275.14,"$81,174,000",,$243.19,-11.61%,$186.77,$321.79,Viking Global Investors,1
≡,LAB - Standard Biotools Inc,0.2,,58651170,$1.28,"$75,073,000",,$1.12,-12.50%,$0.92,$1.72,Viking Global Investors,1
≡,MASI - Masimo Corp.,0.18,Reduce 52.08%,514340,$130.06,"$66,895,000",,$174.69,34.31%,$125.94,$194.88,Viking Global Investors,1
≡,ORIC - ORIC Pharmaceuticals Inc.,0.14,Reduce 0.00%,6572691,$8.18,"$53,765,000",,$10.09,23.35%,$3.90,$14.93,Viking Global Investors,1
≡,TRVI - Trevi Therapeutics Inc.,0.11,Reduce 37.63%,3198644,$12.52,"$40,047,000",,$10.15,-18.93%,$3.96,$14.39,Viking Global Investors,1
≡,DNA - Ginkgo Bioworks Holdings Inc.,0.08,,3577128,$8.31,"$29,726,000",,$9.00,8.30%,$5.00,$17.58,Viking Global Investors,1
≡,PEPG - Pepgen Inc,0.06,,3482434,$6.51,"$22,671,000",,$6.79,4.30%,$0.88,$7.80,Viking Global Investors,1
≡,RLYB - Rallybio Corp.,0.01,,524347,$5.49,"$2,878,000",,$4.33,-21.13%,$1.76,$6.75,Viking Global Investors,1
≡,JHG - Janus Henderson Group,38.05,,31867800,$47.57,"$1,515,951,000",,$49.50,4.06%,$27.44,$49.68,Nelson Peltz - Trian Fund Management,1
≡,GE - GE Aerospace,31.16,Add 0.01%,4030765,$308.03,"$1,241,597,000",,$327.08,6.18%,$158.75,$332.79,Nelson Peltz - Trian Fund Management,1
≡,SOLV - Solventum Corp,16.38,Reduce 2.67%,8236753,$79.24,"$652,680,000",,$73.73,-6.95%,$60.70,$88.20,Nelson Peltz - Trian Fund Management,1
≡,WEN - Wendy's Co.,6.36,Add 0.01%,30440318,$8.33,"$253,568,000",,$7.00,-15.97%,$6.73,$15.28,Nelson Peltz - Trian Fund Management,1
≡,FERG - Ferguson Enterprises Inc.,6.07,,1086357,$222.63,"$241,856,000",,$259.67,16.64%,$144.32,$271.64,Nelson Peltz - Trian Fund Management,1
≡,IVZ - Invesco Ltd,1.96,Reduce 79.69%,2970944,$26.27,"$78,047,000",,$26.40,0.49%,$11.14,$29.37,Nelson Peltz - Trian Fund Management,1
≡,GEHC - GE HealthCare Technologies Inc.,0.01,Add 0.37%,4044,$82.10,"$332,000",,$81.61,-0.60%,$57.54,$93.09,Nelson Peltz - Trian Fund Management,1
≡,PCG - PG&E Corp.,7.59,Reduce 31.54%,34300000,$16.07,"$551,201,000",,$18.02,12.13%,$12.91,$18.38,Daniel Loeb - Third Point,1
≡,NVDA - NVIDIA Corp.,7.58,Add 3.51%,2950000,$186.50,"$550,175,000",,$184.97,-0.82%,$86.60,$212.18,Daniel Loeb - Third Point,1
≡,AMZN - Amazon.com Inc.,6.88,Reduce 22.95%,2165000,$230.82,"$499,725,000",,$201.15,-12.85%,$161.38,$258.60,Daniel Loeb - Third Point,1
≡,MSFT - Microsoft Corp.,6.16,Reduce 15.91%,925000,$483.62,"$447,349,000",,$396.86,-17.94%,$342.95,$553.50,Daniel Loeb - Third Point,1
≡,UNP - Union Pacific,5.77,Add 106.86%,1810000,$231.32,"$418,689,000",,$262.80,13.61%,$200.99,$265.37,Daniel Loeb - Third Point,1
≡,CRH - CRH plc,4.47,Add 20.09%,2600000,$124.80,"$324,480,000",,$122.02,-2.23%,$75.94,$131.55,Daniel Loeb - Third Point,1
≡,SGI - Somnigroup International Inc.,4.18,Add 13.33%,3400000,$89.28,"$303,552,000",,$87.78,-1.68%,$52.78,$98.56,Daniel Loeb - Third Point,1
≡,BN - Brookfield Corp.,3.92,Reduce 11.59%,6200000,$45.89,"$284,518,000",,$47.78,4.12%,$28.95,$49.57,Daniel Loeb - Third Point,1
≡,NSC - Norfolk Southern Corp.,3.88,Reduce 40.91%,975000,$288.72,"$281,502,000",,$316.12,9.49%,$197.60,$319.94,Daniel Loeb - Third Point,1
≡,TDS - Telephone & Data Systems,3.77,Reduce 0.48%,6675000,$41.00,"$273,675,000",,$46.54,13.51%,$30.97,$47.80,Daniel Loeb - Third Point,1
≡,COF - Capital One Financial,3.67,Reduce 20.58%,1100000,$242.36,"$266,596,000",,$206.74,-14.70%,$141.84,$259.64,Daniel Loeb - Third Point,1
≡,CASY - Casey's Gen'l Stores,3.46,Reduce 9.00%,455000,$552.71,"$251,483,000",,$661.53,19.69%,$370.52,$678.67,Daniel Loeb - Third Point,1
≡,CRS - Carpenter Technology,3.4,Reduce 7.65%,785000,$314.84,"$247,149,000",,$374.88,19.07%,$138.14,$390.70,Daniel Loeb - Third Point,1
≡,LYV - Live Nation Inc.,3.39,Add 27.78%,1725000,$142.50,"$245,813,000",,$157.53,10.55%,$112.88,$175.25,Daniel Loeb - Third Point,1
≡,CSGP - CoStar Group Inc.,2.93,Add 4.91%,3165000,$67.24,"$212,815,000",,$45.74,-31.98%,$43.80,$97.43,Daniel Loeb - Third Point,1
≡,MTZ - MasTec Inc.,2.77,Add 27.59%,925000,$217.37,"$201,067,000",,$267.93,23.26%,$99.70,$276.79,Daniel Loeb - Third Point,1
≡,RKT - Rocket Companies Inc.,2.54,Add 137.88%,9515000,$19.36,"$184,210,000",,$18.37,-5.11%,$10.94,$24.36,Daniel Loeb - Third Point,1
≡,LPLA - LPL Financial Holdings Inc.,2.51,Reduce 14.16%,510000,$357.17,"$182,157,000",,$322.19,-9.79%,$262.20,$402.91,Daniel Loeb - Third Point,1
≡,CMG - Chipotle Mexican Grill Inc.,2.41,Buy,4725000,$37.00,"$174,825,000",,$37.88,2.38%,$29.75,$58.42,Daniel Loeb - Third Point,1
≡,CEG - Constellation Energy Corp.,2.31,Buy,475000,$353.27,"$167,803,000",,$303.01,-14.23%,$160.75,$412.23,Daniel Loeb - Third Point,1
≡,VST - Vistra Corp.,2.23,Add 7.49%,1005000,$161.33,"$162,137,000",,$173.68,7.66%,$90.17,$219.51,Daniel Loeb - Third Point,1
≡,DHR - Danaher Corp.,1.89,Add 1100.00%,600000,$228.92,"$137,352,000",,$206.36,-9.85%,$170.19,$242.80,Daniel Loeb - Third Point,1
≡,SN - Sharkninja Inc,1.85,Reduce 33.33%,1200000,$111.90,"$134,280,000",,$131.45,17.47%,$60.50,$133.99,Daniel Loeb - Third Point,1
≡,TSM - Taiwan Semiconductor S.A.,1.78,Reduce 61.36%,425000,$303.89,"$129,153,000",,$364.20,19.85%,$133.00,$380.00,Daniel Loeb - Third Point,1
≡,BABA - Alibaba Group Holdings,1.67,Buy,825000,$146.58,"$120,929,000",,$155.43,6.04%,$94.15,$192.67,Daniel Loeb - Third Point,1
≡,APG - APi Group Corp.,1.58,Buy,3000000,$38.26,"$114,780,000",,$44.43,16.13%,$20.50,$46.11,Daniel Loeb - Third Point,1
≡,FIX - Comfort Systems USA Inc.,1.35,Reduce 47.50%,105000,$933.29,"$97,995,000",,$1337.75,43.34%,$275.80,$1399.00,Daniel Loeb - Third Point,1
≡,SPOT - Spotify Technology S.A.,0.8,Buy,100000,$580.71,"$58,071,000",,$462.82,-20.30%,$405.00,$785.00,Daniel Loeb - Third Point,1
≡,KVUE - Kenvue Inc,0.77,Reduce 63.89%,3250000,$17.25,"$56,063,000",,$18.41,6.72%,$13.69,$24.13,Daniel Loeb - Third Point,1
≡,PGR - Progressive Corp.,0.69,Buy,220000,$227.72,"$50,098,000",,$207.90,-8.70%,$187.97,$275.18,Daniel Loeb - Third Point,1
≡,TMO - Thermo Fisher Scientific,0.4,Buy,50000,$579.46,"$28,973,000",,$501.59,-13.44%,$384.82,$643.99,Daniel Loeb - Third Point,1
≡,SRTA - Strata Critical Medical Inc.,0.33,,5000000,$4.81,"$24,050,000",,$4.47,-7.07%,$2.35,$6.02,Daniel Loeb - Third Point,1
≡,WIX - Wix.com Ltd.,0.32,Buy,225000,$103.89,"$23,375,000",,$68.07,-34.48%,$66.20,$239.73,Daniel Loeb - Third Point,1
≡,CSX - CSX Corp.,0.25,Buy,500000,$36.25,"$18,125,000",,$41.03,13.19%,$25.91,$41.79,Daniel Loeb - Third Point,1
≡,HTZWW - Hertz Global Hldgs Inc. WTS,0.15,,3970000,$2.68,"$10,640,000",,$2.52,-5.97%,$0.90,$4.99,Daniel Loeb - Third Point,1
≡,CTEV - Claritev Corp.,0.09,Buy,145000,$42.75,"$6,199,000",,$23.10,-45.96%,$12.86,$74.07,Daniel Loeb - Third Point,1
≡,SPRY - Ars Pharmaceuticals Inc,0.09,Buy,556237,$11.65,"$6,480,000",,$9.38,-19.48%,$6.66,$18.90,Daniel Loeb - Third Point,1
≡,FLYX - Flyexclusive Inc,0.06,,1022000,$4.11,"$4,200,000",,$2.34,-43.07%,$1.90,$8.88,Daniel Loeb - Third Point,1
≡,AUR - Aurora Innovation Inc.,0.05,,1032463,$3.84,"$3,965,000",,$4.53,17.97%,$3.60,$9.52,Daniel Loeb - Third Point,1
≡,BHC - Bausch Health,0.03,Add 250.00%,350000,$6.95,"$2,433,000",,$5.99,-13.81%,$4.25,$8.69,Daniel Loeb - Third Point,1
≡,AUROW - Aurora Innovation Inc. WTS,0.01,,1835000,$0.23,"$413,000",,$0.28,21.74%,$0.16,$2.57,Daniel Loeb - Third Point,1
≡,FLYX.WS - Eg Acquisition Corp A WTS28,0.0,,367499,$0.29,"$105,000",,,,,,Daniel Loeb - Third Point,1
≡,IEP - Icahn Enterprises,49.12,Add 5.87%,549400539,$7.55,"$4,147,974,000",,$7.99,5.83%,$6.16,$8.79,Carl Icahn - Icahn Capital Management,1
≡,CVI - CVR Energy Inc.,21.21,,70418471,$25.44,"$1,791,446,000",,$22.52,-11.48%,$15.10,$41.67,Carl Icahn - Icahn Capital Management,1
≡,SWX - Southwest Gas Holdings Inc.,5.72,,6032604,$80.02,"$482,729,000",,$88.24,10.27%,$62.67,$88.74,Carl Icahn - Icahn Capital Management,1
≡,UAN - CVR Partners LP,5.05,,4164274,$102.50,"$426,838,000",,$107.00,4.39%,$56.84,$119.90,Carl Icahn - Icahn Capital Management,1
≡,SATS - EchoStar Corp.,4.32,Reduce 22.96%,3354542,$108.70,"$364,639,000",,$113.00,3.96%,$14.90,$132.25,Carl Icahn - Icahn Capital Management,1
≡,CTRI - Centuri Holdings Inc,4.29,Add 32.16%,14336044,$25.25,"$361,985,000",,$31.29,23.92%,$14.46,$32.05,Carl Icahn - Icahn Capital Management,1
≡,IFF - International Flavors & Fragrances Inc.,3.41,Reduce 10.00%,4275000,$67.39,"$288,092,000",,$82.74,22.78%,$58.78,$84.47,Carl Icahn - Icahn Capital Management,1
≡,JBLU - JetBlue Airways Corp.,1.81,,33621735,$4.55,"$152,979,000",,$6.07,33.41%,$3.34,$7.83,Carl Icahn - Icahn Capital Management,1
≡,AEP - American Electric Power,1.65,,1205300,$115.31,"$138,983,000",,$130.24,12.95%,$95.15,$132.78,Carl Icahn - Icahn Capital Management,1
≡,MNRO - Monro Inc.,1.21,Add 246.66%,5078573,$20.04,"$101,775,000",,$22.46,12.08%,$11.61,$23.91,Carl Icahn - Icahn Capital Management,1
≡,SD - SandRidge Energy Inc.,0.84,Add 0.85%,4911564,$14.43,"$70,874,000",,$17.00,17.81%,$8.55,$17.34,Carl Icahn - Icahn Capital Management,1
≡,BLCO - Bausch + Lomb Corp,0.71,,3500000,$17.08,"$59,780,000",,$17.73,3.81%,$10.45,$17.91,Carl Icahn - Icahn Capital Management,1
≡,CZR - Caesars Entertainment,0.68,,2440109,$23.39,"$57,074,000",,$18.95,-18.98%,$17.86,$39.86,Carl Icahn - Icahn Capital Management,1
≡,GRBK - Green Brick Partners,20.82,,9467383,$62.66,"$593,226,000",,$79.49,26.86%,$50.57,$80.97,David Einhorn - Greenlight Capital,1
≡,FLR - Fluor Corp.,7.73,Add 0.77%,5555900,$39.63,"$220,181,000",,$48.57,22.56%,$29.20,$57.50,David Einhorn - Greenlight Capital,1
≡,CNR - Core Natural Resources Inc.,6.52,Reduce 2.56%,2100480,$88.51,"$185,913,000",,$86.61,-2.15%,$57.95,$103.50,David Einhorn - Greenlight Capital,1
≡,BHF - Brighthouse Financial Inc.,6.35,,2792100,$64.79,"$180,900,000",,$63.91,-1.36%,$42.07,$66.33,David Einhorn - Greenlight Capital,1
≡,GPK - Graphic Packaging Hldg Co.,4.45,Add 78.82%,8415110,$15.06,"$126,731,000",,$12.37,-17.86%,$11.83,$27.58,David Einhorn - Greenlight Capital,1
≡,PCG - PG&E Corp.,4.39,Add 21.99%,7784103,$16.07,"$125,090,000",,$18.02,12.13%,$12.91,$18.38,David Einhorn - Greenlight Capital,1
≡,CPRI - Capri Holdings Ltd,4.08,Add 77.41%,4768007,$24.40,"$116,340,000",,$20.38,-16.48%,$11.86,$28.27,David Einhorn - Greenlight Capital,1
≡,CNC - Centene Corp.,3.81,Add 69.14%,2639420,$41.15,"$108,612,000",,$41.23,0.19%,$25.08,$66.03,David Einhorn - Greenlight Capital,1
≡,KD - Kyndryl Holdings Inc,3.56,Reduce 12.14%,3816353,$26.56,"$101,363,000",,$13.59,-48.83%,$10.10,$44.20,David Einhorn - Greenlight Capital,1
≡,TEVA - Teva Pharmaceutical Industries Ltd.,3.35,Reduce 19.05%,3058734,$31.21,"$95,463,000",,$34.41,10.25%,$12.47,$37.35,David Einhorn - Greenlight Capital,1
≡,VSCO - Victoria's Secret & Co.,3.3,Reduce 10.07%,1737869,$54.17,"$94,140,000",,$60.36,11.43%,$13.76,$66.89,David Einhorn - Greenlight Capital,1
≡,DHT - DHT Holdings Inc.,3.16,Reduce 3.34%,7366664,$12.21,"$89,947,000",,$16.27,33.25%,$8.57,$16.33,David Einhorn - Greenlight Capital,1
≡,PENN - Penn National Gaming Inc.,3.13,Reduce 10.71%,6044440,$14.75,"$89,156,000",,$12.05,-18.31%,$11.65,$22.76,David Einhorn - Greenlight Capital,1
≡,GLD - SPDR Gold Trust,2.37,Reduce 2.59%,170561,$396.31,"$67,595,000",,$448.20,13.09%,$261.25,$509.70,David Einhorn - Greenlight Capital,1
≡,ACHC - Acadia Healthcare Co.,2.05,Add 150.88%,4121203,$14.19,"$58,480,000",,$16.42,15.72%,$11.43,$42.85,David Einhorn - Greenlight Capital,1
≡,WFRD - Weatherford International plc,2.04,Reduce 22.60%,743620,$78.26,"$58,196,000",,$102.23,30.63%,$36.14,$106.41,David Einhorn - Greenlight Capital,1
≡,LBTYA - Liberty Global Ltd CL A,1.96,Reduce 4.14%,5004432,$11.14,"$55,749,000",,$11.16,0.18%,$9.03,$12.09,David Einhorn - Greenlight Capital,1
≡,CNH - CNH Industrial NV,1.87,Reduce 2.32%,5767540,$9.22,"$53,177,000",,$13.09,41.97%,$9.00,$14.27,David Einhorn - Greenlight Capital,1
≡,ROIV - Roivant Sciences Ltd,1.58,Reduce 9.06%,2069309,$21.70,"$44,904,000",,$27.09,24.84%,$8.73,$27.94,David Einhorn - Greenlight Capital,1
≡,WBD - Warner Bros. Discovery Inc.,1.55,Buy,1533080,$28.82,"$44,184,000",,$28.75,-0.24%,$7.52,$30.00,David Einhorn - Greenlight Capital,1
≡,SPB - Spectrum Brands Holdings Inc.,1.38,Buy,663890,$59.08,"$39,223,000",,$77.36,30.94%,$49.27,$77.90,David Einhorn - Greenlight Capital,1
≡,HSIC - Henry Schein Inc.,1.24,Buy,469250,$75.58,"$35,466,000",,$77.21,2.16%,$60.56,$82.80,David Einhorn - Greenlight Capital,1
≡,AR - Antero Resources,1.23,Buy,1014070,$34.46,"$34,945,000",,$33.63,-2.41%,$29.10,$44.02,David Einhorn - Greenlight Capital,1
≡,BKV - Bkv Corporation,1.23,Buy,1287943,$27.15,"$34,968,000",,$29.96,10.35%,$15.00,$31.50,David Einhorn - Greenlight Capital,1
≡,GPN - Global Payments Inc.,1.23,Buy,452730,$77.40,"$35,042,000",,$69.77,-9.86%,$65.33,$106.01,David Einhorn - Greenlight Capital,1
≡,DECK - Deckers Outdoor,1.09,Buy,298778,$103.67,"$30,975,000",,$117.35,13.20%,$78.91,$156.61,David Einhorn - Greenlight Capital,1
≡,CI - Cigna Group,0.91,,93750,$275.23,"$25,803,000",,$290.71,5.62%,$238.17,$344.64,David Einhorn - Greenlight Capital,1
≡,SLDE - Slide Insurance Holdings Inc,0.79,Buy,1149880,$19.48,"$22,399,000",,$17.18,-11.81%,$12.53,$25.90,David Einhorn - Greenlight Capital,1
≡,PRKS - United Parks and Resorts Inc.,0.73,Add 21.99%,574620,$36.30,"$20,859,000",,$34.79,-4.16%,$29.62,$58.51,David Einhorn - Greenlight Capital,1
≡,GLPG - Galapagos NV SP ADR,0.55,,482746,$32.70,"$15,786,000",,$33.93,3.76%,$22.59,$37.78,David Einhorn - Greenlight Capital,1
≡,COYA - Coya Therapeutics Inc,0.41,Add 23.05%,2025940,$5.80,"$11,751,000",,$4.65,-19.83%,$3.94,$8.29,David Einhorn - Greenlight Capital,1
